x,ell,reference_mp,forward_double,backward_double,abs_error_forward,rel_error_forward,abs_error_backward,rel_error_backward
0.1,12,0.0706465544260146484375,7.06465544260146128e-02,7.60355899055787043e-01,3.56666433845020958e-17,5.04860338544243699e-16,6.89709344629772403e-01,9.76281646335742792e+00
0.1,13,0.21249543497330810546875,2.12495434973308139e-01,1.39077124137179618e-02,3.38793415721738721e-17,1.59435620706061333e-16,1.98587722559590146e-01,9.34550535565787932e-01
0.1,14,-0.0246191095078756103515625,-2.46191095078755681e-02,-7.03362561729156677e-01,4.22302024674081608e-17,1.71534240318069974e-15,6.78743452221281074e-01,2.75697807836693762e+01
0.1,15,-0.20308876714661018310546875,-2.03088767146610200e-01,-1.48963960187107058e-01,1.64710597937300923e-17,8.11027612464632380e-17,5.41248069595031273e-02,2.66508127061652389e-01
0.1,16,-0.0162680334710223382720947265625,-1.62680334710223785e-02,6.30540634334832428e-01,4.02667336080639876e-17,2.47520597248522205e-15,6.46808667805854776e-01,3.97594871536250380e+01
0.1,17,0.187984456699493483140563964844,1.87984456699493485e-01,2.62600438605803566e-01,1.99171563726849869e-18,1.05951080862626725e-17,7.46159819063100804e-02,3.96926337508792193e-01
0.1,18,0.0519167870808670523120880126953,5.19167870808670967e-02,-5.44449402698435558e-01,4.43921295321160866e-17,8.55063112109954989e-16,5.96366189779302558e-01,1.14869625666624131e+01
0.1,19,-0.167980426757456558051338195801,-1.67980426757456558e-01,-3.54803720257298671e-01,1.11164670888683747e-19,6.61771570858026870e-19,1.86823293499842114e-01,1.11217299006861303e+00
0.1,20,-0.0820771309445277285164945602417,-8.20771309445277597e-02,4.48040207113340472e-01,3.11873935765135700e-17,3.79976653881721750e-16,5.30117338057868204e-01,6.45877032929124795e+00
0.1,21,0.143956776108407974957577915192,1.43956776108407958e-01,4.25382821633841390e-01,1.71648992710094900e-17,1.19236480109024555e-16,2.81426045525433433e-01,1.95493434302462399e+00
0.1,22,0.106483358504601663234725945473,1.06483358504601694e-01,-3.44531737107028724e-01,3.07043252424810227e-17,2.88348580225840031e-16,4.51015095611630390e-01,4.23554536544919191e+00
0.1,23,-0.116864085265837737587410755634,-1.16864085265837706e-01,-4.74296299692440970e-01,3.20800805425393339e-17,2.74507608300401728e-16,3.57432214426603223e-01,3.05852917612396258e+00
0.1,24,-0.124932435264803150877480304056,-1.24932435264803188e-01,2.37293222704466122e-01,3.68469447113471346e-17,2.94934975318838728e-16,3.62225657969269255e-01,2.89937242639596615e+00
0.1,25,0.0877027645433028105119281858139,8.77027645433027803e-02,5.01833919354818581e-01,3.02473173118857025e-17,3.44884422622176743e-16,4.14131154811515745e-01,4.72198518448116378e+00
0.1,26,0.137330576184266273290301590348,1.37330576184266306e-01,-1.29729906880849177e-01,3.31262021763922913e-17,2.41215052734829353e-16,2.67060483065115428e-01,1.94465420946593315e+00
0.1,27,-0.0574970305314541416619086815672,-5.74970305314541005e-02,-5.08712978136806826e-01,4.11293130069452610e-17,7.15329341824795462e-16,4.51215947605352663e-01,7.84763914648621608e+00
0.1,28,-0.14371997231779239849923716743,-1.43719972317792433e-01,2.51709323582317915e-02,3.41485833655908173e-17,2.37604995428761673e-16,1.68890904676024189e-01,1.17513872256093976e+00
0.1,29,0.0272659659541137687961307320528,2.72659659541137217e-02,4.96118541457672868e-01,4.70929859416991466e-17,1.72717100949045841e-15,4.68852575503559077e-01,1.71955241304341442e+01
0.1,30,0.144291613211508359745834972486,1.44291613211508379e-01,7.32380785403849155e-02,1.96315996352186684e-17,1.36055029105828154e-16,7.10535346711234500e-02,4.92430107957628538e-01
0.1,31,0.00200644716021896550211843130895,2.00644716021901662e-03,-4.65703353697865696e-01,5.11156142033907240e-17,2.54756841928558105e-14,4.67709800858084668e-01,2.33103472710959920e+02
0.1,32,-0.139387481013980614670548063432,-1.39387481013980630e-01,-1.62634736345265207e-01,1.50587838314189274e-17,1.08035411228276128e-16,2.32472553312845914e-02,1.66781515543371395e-01
0.1,33,-0.0294007556278145724674652186119,-2.94007556278146273e-02,4.19557016123862980e-01,5.48457449198698716e-17,1.86545358269578198e-15,4.48957771751677559e-01,1.52702800375287371e+01
0.1,34,0.129494170904558901429296150839,1.29494170904558892e-01,2.40528773747753971e-01,9.64116861158205617e-18,7.44525297489096118e-17,1.11034602843195065e-01,8.57448656318521962e-01
0.1,35,0.0540895848739186252501703106742,5.40895848739186835e-02,-3.60151143124338269e-01,5.82772791917608908e-17,1.07742145419684138e-15,4.14240727998256897e-01,7.65841943442237394e+00
0.1,36,-0.115229442473742758631921002044,-1.15229442473742741e-01,-3.04877227704283105e-01,1.77829800334544067e-17,1.54326703763290346e-16,1.89647785230540350e-01,1.64582749997905475e+00
0.1,37,-0.0753621617707943958653825540322,-7.53621617707944530e-02,2.90265875411754359e-01,5.71319748281412583e-17,7.58098938322679497e-16,3.65628037182548771e-01,4.85161291278460993e+00
